nomem_encr,gender_ds,age_qt,has_partner_now_fl,actual_number_of_household_children_qt,number_of_household_children_increase_fl,got_first_child_fl,got_married_fl,married_now_fl,actual_civil_status_ds,actual_domestic_situation_ds,actual_dwelling_ds,actual_urban_type_ds,actual_occupation_type_ds,actual_household_gross_monthly_income_qt,actual_household_gross_monthly_income_med_qt,actual_household_gross_monthly_income_std_qt,actual_household_net_monthly_income_qt,actual_household_net_monthly_income_med_qt,actual_household_net_monthly_income_std_qt,cf20m130,cf19l130,cf18k130,cf17j130,cf14g130,cf15h130,cf16i130,cf20m031,cf19l031,cf18k031,cf17j031,cf20m028,cf17j028,cf20m029,cf19l029,cf08a178,cf08a179,cf10c166,cf11d186,cf20m129,cf20m456,cf20m457,cf20m458,cf19l472,cf20m203_ds,cf20m204_ds,cf20m202_ds,cf20m251,cf17j398,cf20m245_ds,cf20m248_ds,cf20m249,cf20m387,cf20m384,cd20m024,ca18f023,cd20m083,cf20m005,cf20m009,ch20m219,cf20m007,cf20m008,cf20m011,cf20m012,cf20m013,cf20m014,cf20m015,cf20m016,personality_1,personality_2,personality_3,personality_4,personality_5,cf20m130_isna_fl,cf19l130_isna_fl,cf18k130_isna_fl,cf17j130_isna_fl,cf14g130_isna_fl,cf15h130_isna_fl,cf16i130_isna_fl,cf20m031_isna_fl,cf19l031_isna_fl,cf20m028_isna_fl,cf20m029_isna_fl,cf19l029_isna_fl,cf20m251_isna_fl,cf20m249_isna_fl
730647,male,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Never been married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Not urban,Paid employment,7500.0,4648.67761611824,1403.5296342362956,5450.0,3400.0,943.1527114084108,2.0,3.0,2.0,3.0,4.0,2.0,2.0,,,,,2019.0,,2020.0,,,,,1.0,2.0,,,,,missing,missing,missing,,0.0,missing,missing,,,,310000.0,,225000.0,1955.0,1959.0,0.0,1.0,,1.0,,,,,,-1.5933102717262393,0.23253934950817948,0.6659024809049318,0.7400725656395006,0.8397881352806361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
731904,male,40.0,1.0,0.0,0.0,0.0,0.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Rental dwelling,Slightly urban,Takes care of the housekeeping,,4253.63523524703,1065.983680413749,,3263.0,273.07440808860343,,,,10.0,2.0,,1.0,2007.0,2007.0,2007.0,2007.0,,,2007.0,2007.0,,,,,,2009.0,2010.0,2015.0,,7.0,7.0,7.0,,,0.0,missing,,,,,,,1952.0,1954.0,0.0,1.0,,1.0,,,,,,0.45263564578003274,-0.3224828623666072,-0.48937686127213437,-0.0451353817423601,-0.7052784928326477,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
717101,female,36.0,1.0,1.0,1.0,1.0,1.0,1.0,Married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Moderately urban,Paid employment,,3481.55804917728,210.4440968845212,,2500.0,128.39971373210489,,,,,1.0,1.0,,2016.0,2016.0,2016.0,,,,2006.0,2006.0,,,,2.0,,2015.0,,,,missing,missing,missing,,,missing,missing,,200.0,,,,,1954.0,1955.0,0.0,1.0,,1.0,,,,,,0.001447634273469325,0.37307355783762175,-0.6007092821301927,1.086169495700562,0.9762170029411187,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
701492,female,45.0,1.0,2.0,1.0,0.0,0.0,0.0,Never been married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Slightly urban,"Autonomous professional, freelancer, or self-employed",,,,,,,,,,,,,,,,,,,,1997.0,1997.0,,,,,,2009.0,2011.0,,,missing,missing,missing,,6484.00470388478,missing,missing,,,,,200.0,,1949.0,1949.0,0.0,1.0,,1.0,,,,,,0.6680005393338552,-0.3498253022926124,0.5767044365831098,-0.03963018512405395,-1.1468198899895443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
701044,male,35.0,1.0,0.0,0.0,0.0,1.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Very urban,Paid employment,9700.0,6300.0,2269.054959827711,6100.0,4500.0,1280.592837540738,,,4.0,1.0,3.0,1.0,1.0,2016.0,2016.0,2016.0,2016.0,,,2011.0,2011.0,,,8.0,2.0,,2015.0,2018.0,,,4.0,4.0,4.0,,0.0,1.0,2.0,6.0,,,325000.0,15000.0,120000.0,1955.0,1956.0,0.0,1.0,,1.0,,,,,,0.41078407726778104,-0.18159532122482522,-1.5056775965616311,-1.1328527526291654,-1.1295544843304453,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
728683,female,36.0,1.0,2.0,1.0,1.0,1.0,1.0,Married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Not urban,Paid employment,7300.0,5000.0,877.0451483861549,4400.0,3480.0,378.5545630111197,,,,1.0,0.0,2.0,2.0,2013.0,2013.0,2013.0,2013.0,,,2009.0,2009.0,,,,1.0,,2014.0,2018.0,,,4.0,4.0,4.0,664.0,,1.0,1.0,6.0,,,265000.0,3000.0,,1958.0,1960.0,0.0,1.0,,1.0,,,,2.0,1.0,-0.5036297869924066,0.5857170516973028,-0.0811299730793088,0.4036570790452415,-0.08655788157191185,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
709777,female,33.0,1.0,0.0,0.0,0.0,1.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Slightly urban,Paid employment,5300.0,5300.0,588.4594445456266,4300.0,3700.0,466.02343065003373,,,,,2.0,1.0,1.0,2014.0,2014.0,2014.0,2014.0,,,2008.0,2008.0,,,,2.0,,2015.0,2017.0,,,3.0,3.0,missing,,5124.08528422391,1.0,1.0,3.0,,,395000.0,7000.0,,,1963.0,0.0,1.0,,1.0,,,,,,-0.3591457586963409,-0.6360620654481494,0.5110324061821615,0.5686435778879442,-0.1687616530914736,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
725359,female,42.0,1.0,3.0,1.0,1.0,0.0,1.0,Married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Moderately urban,Attends school or is studying,11555.1537504309,9814.87042217236,2378.592970384867,6250.0,6000.0,1163.584669707297,,,,,2.0,,,2009.0,2009.0,2009.0,2009.0,,1997.0,1999.0,1999.0,,,,1.0,,2012.0,2013.0,2015.0,,missing,missing,missing,,,missing,missing,,,,,,,1954.0,1956.0,,1.0,,1.0,,,,1.0,2.0,-0.43559803997108765,0.6329522927453743,0.1284083184508341,1.2995145439296225,0.13021148109132852,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
730437,female,40.0,1.0,1.0,1.0,1.0,1.0,1.0,Married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Moderately urban,Paid employment,10990.0,9600.0,3280.563756695385,6750.0,6100.0,2051.0578662247644,,,,0.0,1.0,0.0,1.0,2014.0,2014.0,2014.0,2014.0,,,2015.0,2015.0,,,,1.0,,2017.0,,,,4.0,5.0,missing,1560.0,43959.4712434078,0.0,missing,8.0,489.0,,695000.0,,283000.0,1948.0,1952.0,0.0,1.0,,1.0,,,,,,-0.346512181990621,1.3518472031157296,-0.06047644199391631,1.0804436262954522,1.0290686786127596,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
714474,female,31.0,1.0,0.0,0.0,0.0,0.0,0.0,Never been married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Extremely urban,Job seeker following job loss,3837.72054410013,3388.61987213931,692.4921812279168,2725.0,2446.0,439.9295776923681,,3.0,,,2.0,,3.0,,,,,,,2010.0,2010.0,3.0,3.0,,,,,,,,missing,missing,missing,,117497.939198949,missing,missing,,,,,,,1963.0,1965.0,0.0,1.0,,1.0,,,,,,1.2842270078229758,-1.4347887712904426,-0.8447341325024624,-0.15747924755879542,-1.8565716806824752,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
704721,female,29.0,1.0,0.0,1.0,1.0,1.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Moderately urban,Paid employment,4500.0,4498.5064032335,974.7323397609504,3700.0,3300.0,436.59838016569637,1.0,2.0,5.0,2.0,10.0,10.0,5.0,2019.0,2019.0,,,,,2014.0,2014.0,3.0,3.0,8.0,,2.0,,,,,missing,missing,missing,,1454.33318053326,missing,missing,,,,210000.0,,170000.0,1966.0,1963.0,0.0,1.0,,1.0,,,,,,-1.4574316961964402,-0.02973747369558034,0.9183482077094637,0.7654359049517687,0.10602159063096375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
707571,female,31.0,0.0,0.0,1.0,1.0,1.0,1.0,Married,Single,Self owned dwelling,Moderately urban,Paid employment,2481.0,2250.0,642.8574694011905,1988.0,1770.0,479.6405431468038,2.0,,,5.0,5.0,6.0,3.0,2019.0,,,,,,2017.0,2017.0,3.0,2.0,5.0,4.0,1.0,,,,,missing,missing,missing,,14703.8757475708,missing,missing,,,,220000.0,1000.0,,1960.0,1961.0,0.0,1.0,,1.0,,,,,,1.3762232930826899,-2.1844706557886755,-0.889364410475882,0.39241281059687294,-1.2906345159750368,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
725695,female,45.0,1.0,2.0,0.0,0.0,0.0,1.0,Married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Slightly urban,Paid employment,3299.87581221218,2766.99204008017,626.5056895194505,2550.0,2140.0,484.114694676253,,,,,,,,1999.0,1999.0,1999.0,1999.0,,,1997.0,1997.0,,,,1.0,,2004.0,2002.0,,,missing,missing,missing,,95151.8209599795,missing,missing,,,,225000.0,2500.0,68000.0,1947.0,1949.0,1.0,1.0,,1.0,,,,,,-1.483798104611048,-0.790194402635935,1.866665635923761,0.06720694214115427,-0.5271837232724225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
