nomem_encr,actual_household_gross_monthly_income_qt,actual_household_net_monthly_income_qt,actual_household_gross_monthly_income_med_qt,actual_household_gross_monthly_income_std_qt,actual_household_net_monthly_income_std_qt,age_qt,gender_ds,got_married_fl,actual_household_net_monthly_income_med_qt,cf20m130_zero,cf20m130_negative,belbezig_2020_imputed,brutoink_f_2020_imputed,nettoink_f_2020_imputed,burgstat_2020_imputed,oplcat_2020_imputed,partner_2020_imputed,sted_2020_imputed,woning_2020_imputed,woonvorm_2020_imputed,cf20m130_imputed,cf20m129_imputed,cf20m128_imputed,cf20m005_imputed,cf20m008_imputed,cf20m009_imputed,cf20m012_imputed,cf20m014_imputed,cf20m398_imputed,cf20m025_imputed,cf20m028_imputed,cf20m029_imputed,cf20m030_imputed,cf20m031_imputed,cf20m402_imputed,cf20m166_imputed,cf20m185_imputed,cf20m186_imputed,cf20m250_imputed,cf20m251_imputed,cf20m471_imputed,cf20m472_imputed,cf20m486_imputed,cv20l068_imputed,cv20l103_imputed,cv20l125_imputed,cv20l126_imputed,cv20l130_imputed,cs20m180_imputed,cs20m370_imputed,cr20m041_imputed,cr20m093_imputed,cr20m094_imputed,ca20g023_imputed,cd20m024_imputed,ci20m043_imputed,ci20m309_imputed,ch20m219_imputed,year_last_child_imputed,num_children_imputed,cf20m130,cf20m129,cf20m128,cf20m025,cf20m030,cf20m402,cf20m166,ch20m219,migration_background_bg,belbezig_2020,brutoink_f_2020,nettoink_f_2020,burgstat_2020,oplcat_2020,partner_2020,sted_2020,woning_2020,woonvorm_2020,same_sex_ds,personality_1,personality_2,personality_3,personality_4,personality_5,new_child
700731,1650.0,1300.0,1653.96275336895,633.4391086639159,499.9287515110335,44.0,female,0.0,1300.0,0.0,0.0,8.0,0.0,0.0,1.0,4.0,1.0,5.0,2.0,2.0,0.0,1.0,2.0,1948.0,,1949.0,,,0.0,1.0,2008.0,2009.0,1.0,2010.0,1.0,4.0,1.0,1.0,6.0,10.0,2.0,,1.0,0.0,5.0,2.0,4.0,5.0,99.0,5.0,6.0,1.0,3.0,2000.0,,0.0,1.0,0.0,2012.0,4,,,,,,,,0.0,0.0,8.0,0.0,0.0,1.0,4.0,1.0,5.0,2.0,2.0,False,-0.14398952717035,-0.532491473190523,0.348089039299878,-0.1118768465439776,0.2555036816121512,0.0
719895,1750.0,1500.0,1800.0,360.4678193357306,207.97291227570275,36.0,female,1.0,1500.0,1.0,1.0,1.0,1750.0,1500.0,1.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1953.0,,1952.0,,,2037.0,1.0,2016.0,2017.0,1.0,2020.0,1.0,,2.0,2.0,8.0,250.0,2.0,,5.0,0.0,4.0,2.0,2.0,3.0,0.0,5.0,6.0,1.0,1.0,-9.0,,0.0,5.0,0.0,2017.0,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,1750.0,1500.0,1.0,4.0,0.0,3.0,1.0,1.0,False,1.120002985995153,-0.6333661448866815,0.3363283806281917,-0.5996987868761683,-1.3040383164436018,1.0
708937,6608.0,4678.0,3942.83426805073,1862.277716478897,1358.6062177361111,31.0,female,0.0,2930.0,10.0,10.0,1.0,2758.0,2228.0,5.0,5.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,1954.0,,1954.0,,,64724.0,1.0,2015.0,2015.0,2.0,,1.0,8.0,2.0,2.0,,,2.0,,4.0,0.0,3.0,1.0,3.0,4.0,0.0,7.0,6.0,1.0,4.0,,345000.0,0.0,5.0,0.0,,0,,,3.0,1.0,2.0,1.0,,0.0,0.0,1.0,2758.0,2228.0,5.0,5.0,1.0,1.0,1.0,2.0,False,1.5213752083182828,-1.3537017107203118,0.8061427100072973,-1.6286665832548337,-0.6775964606176162,0.0
730975,6081.28217634253,4000.0,6081.28217634253,997.986144132608,494.1979268890771,41.0,female,0.0,4000.0,1.0,1.0,1.0,1726.80486751182,1250.0,5.0,4.0,1.0,4.0,1.0,3.0,0.0,1.0,2.0,1937.0,,1945.0,,,1439.0,1.0,2001.0,2005.0,2.0,,1.0,,2.0,2.0,1.0,155.0,2.0,,4.0,0.0,4.0,1.0,4.0,3.0,1.0,,6.0,1.0,1.0,,9999999999.0,0.0,1.0,1.0,2012.0,3,,,2.0,1.0,2.0,1.0,,1.0,0.0,1.0,1726.80486751182,1250.0,5.0,4.0,1.0,4.0,1.0,3.0,False,0.4592188655214131,-0.6814848776747444,0.2061526929893288,0.0475166728052691,-0.5153002816524395,0.0
708136,8166.0,5560.0,5813.0,705.5252456435711,613.8808465621122,33.0,female,1.0,4075.0,1.0,1.0,1.0,3940.0,2734.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1960.0,,1963.0,,,2138.58738423287,1.0,2002.0,2009.0,1.0,2015.0,1.0,,2.0,2.0,,3150.0,2.0,,5.0,1.0,3.0,4.0,2.0,4.0,0.0,3.0,5.0,1.0,1.0,5600.0,620000.0,0.0,5.0,0.0,2019.0,2,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,3940.0,2734.0,1.0,5.0,1.0,1.0,1.0,3.0,False,-0.987012543395252,0.7349354314159414,-0.1127537312127734,1.3308166177997536,1.9333891183964171,1.0
705213,3260.0,2250.0,3300.0,206.3107259767189,232.6356344443633,42.0,male,1.0,2250.0,2.0,2.0,1.0,3260.0,2250.0,1.0,6.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1952.0,,1957.0,,,136838.0,1.0,2010.0,2012.0,1.0,2016.0,1.0,6.0,1.0,2.0,18.0,403.0,2.0,,1.0,0.0,4.0,3.0,2.0,4.0,0.0,5.0,6.0,1.0,1.0,4500.0,225000.0,0.0,5.0,0.0,2020.0,1,2.0,1.0,1.0,1.0,1.0,1.0,,0.0,202.0,1.0,3260.0,2250.0,1.0,6.0,0.0,1.0,1.0,1.0,False,0.674554376040135,0.2574647170123624,0.0770371218015017,0.4208690188680987,-0.0628778028364354,1.0
714146,4000.0,3550.0,4900.0,1671.1703567964728,786.0200091860866,37.0,male,1.0,3550.0,6.0,6.0,3.0,3000.0,2800.0,1.0,6.0,1.0,4.0,1.0,2.0,0.0,1.0,2.0,1949.0,1999.0,1950.0,,,,1.0,2007.0,2009.0,1.0,2013.0,1.0,,3.0,3.0,,160.0,2.0,,1.0,0.0,2.0,2.0,2.0,4.0,0.0,7.0,6.0,1.0,1.0,6000.0,325000.0,0.0,1.0,0.0,2016.0,2,,,2.0,1.0,1.0,1.0,,0.0,0.0,3.0,3000.0,2800.0,1.0,6.0,1.0,4.0,1.0,2.0,False,-0.3403856846377018,1.3761254052839975,-0.3997286795674598,0.107156545938186,1.733259810511729,0.0
729014,4967.0780070536,3500.0,4255.87362261392,1619.489896966783,1051.6141801290312,33.0,female,0.0,2997.0,2.0,2.0,1.0,3638.0,2500.0,3.0,6.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1955.0,,1960.0,,,1359.0,1.0,2012.0,2016.0,2.0,2005.0,1.0,,1.0,1.0,,808.0,2.0,,4.0,1.0,3.0,1.0,5.0,5.0,1.0,7.0,6.0,1.0,1.0,,,0.0,1.0,1.0,2020.0,3,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,0.0,1.0,3638.0,2500.0,3.0,6.0,1.0,2.0,2.0,3.0,False,1.2793644580657813,1.6036439668673068,-0.0963568675665619,0.2202215458586759,0.6507669938330409,1.0
712435,3446.11391341185,2250.0,5982.47711902668,1178.1336333799843,808.1355258142214,44.0,male,0.0,4000.0,1.0,1.0,1.0,3446.11391341185,2250.0,5.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1948.0,,1950.0,,,7342.0,2.0,2016.0,2017.0,2.0,,1.0,5.0,3.0,1.0,,,2.0,,1.0,0.0,3.0,1.0,1.0,4.0,0.0,5.0,6.0,1.0,4.0,-8.0,225000.0,0.0,5.0,0.0,2007.0,1,,,2.0,2.0,2.0,1.0,,0.0,0.0,1.0,3446.11391341185,2250.0,5.0,5.0,0.0,2.0,1.0,1.0,False,2.2959768442544424,0.3006812671781145,0.6415962037949401,-1.0813210112470533,-0.4160699213430016,0.0
725289,1617.0,1240.0,4229.455868374,1145.1694073878043,942.6991219498386,30.0,female,0.0,3450.0,20.0,20.0,10.0,1617.0,1240.0,5.0,4.0,0.0,2.0,2.0,1.0,8.0,4.0,2.0,1944.0,,1953.0,,,0.0,,,,,,,7.0,,,,,2.0,,,0.0,5.0,2.0,4.0,4.0,99.0,6.0,5.0,4.0,4.0,,,0.0,5.0,0.0,,0,,,2.0,,,,7.0,0.0,0.0,10.0,1617.0,1240.0,5.0,4.0,0.0,2.0,2.0,1.0,False,0.7029225304383147,0.2771954173472751,1.3542961428733442,-0.278058252215677,0.3115564772969922,0.0
702808,2833.53072225164,1900.0,2200.0,274.7763043155397,252.0525341840576,32.0,female,1.0,1750.0,1.0,1.0,1.0,2833.53072225164,1900.0,1.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1950.0,,1955.0,,,1479.0,1.0,2008.0,2010.0,1.0,2018.0,1.0,7.0,1.0,1.0,,250.0,2.0,,3.0,0.0,5.0,1.0,4.0,4.0,0.0,6.0,6.0,1.0,1.0,,,0.0,1.0,0.0,2018.0,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,2833.53072225164,1900.0,1.0,5.0,0.0,1.0,2.0,1.0,False,-0.3112490974317298,0.7009821918311183,0.3650416681934743,1.2173879416994282,1.1637775053663746,1.0
732113,2492.94722378449,1700.0,2492.94722378449,105.84279735508731,65.58958989042623,38.0,female,0.0,1700.0,4.0,4.0,1.0,2492.94722378449,1700.0,3.0,4.0,0.0,5.0,2.0,1.0,4.0,1.0,2.0,1949.0,,1963.0,,,0.0,1.0,2014.0,2015.0,1.0,2016.0,1.0,10.0,1.0,1.0,,,2.0,,5.0,0.0,5.0,3.0,3.0,3.0,99.0,3.0,5.0,4.0,4.0,,,0.0,5.0,0.0,2007.0,2,,,2.0,,,,10.0,0.0,0.0,1.0,2492.94722378449,1700.0,3.0,4.0,0.0,5.0,2.0,1.0,False,-0.9484639061695618,-0.2236283344571588,-0.2372231729537599,0.1498533421177727,-0.256152139478415,0.0
715903,1700.0,1530.0,900.0,332.50097853448835,304.7393938009474,44.0,female,0.0,850.0,,,10.0,1000.0,930.0,3.0,2.0,0.0,1.0,2.0,4.0,,,2.0,1942.0,,1946.0,1984.0,,,2.0,2018.0,2007.0,2.0,,1.0,8.0,2.0,1.0,,,2.0,,,0.0,4.0,1.0,3.0,4.0,0.0,6.0,6.0,1.0,1.0,,,0.0,5.0,0.0,2000.0,2,,,2.0,2.0,2.0,1.0,,0.0,0.0,10.0,1000.0,930.0,3.0,2.0,0.0,1.0,2.0,4.0,False,0.3814759137256953,-1.1360115521437684,0.657145471985387,0.7223183051658199,0.651547910783774,0.0
703283,7420.0,5000.0,5020.0,1904.6689931171516,1222.4063098242937,34.0,male,1.0,3350.0,1.0,1.0,1.0,3800.0,2500.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1960.0,,1961.0,,,6640.0,1.0,2010.0,2014.0,1.0,2017.0,1.0,6.0,1.0,2.0,,,2.0,,1.0,0.0,3.0,2.0,2.0,4.0,0.0,6.0,6.0,1.0,4.0,7500.0,450000.0,0.0,5.0,0.0,,0,1.0,2.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,3800.0,2500.0,1.0,5.0,1.0,2.0,1.0,2.0,False,-1.5398888475815888,-0.135095913290597,-0.2865573942310579,0.1666480635813997,0.5640846754744695,1.0
730647,7500.0,5450.0,4648.67761611824,1403.5296342362956,943.1527114084108,33.0,male,0.0,3400.0,2.0,2.0,1.0,3000.0,2650.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1955.0,,1959.0,,,10061.0,1.0,2019.0,2020.0,2.0,,1.0,5.0,1.0,1.0,,,2.0,,3.0,0.0,3.0,1.0,4.0,5.0,0.0,7.0,5.0,3.0,4.0,50000.0,310000.0,0.0,5.0,0.0,,0,2.0,2.0,1.0,1.0,2.0,,,0.0,0.0,1.0,3000.0,2650.0,5.0,3.0,1.0,5.0,1.0,2.0,False,-1.5933102717262393,0.2325393495081794,0.6659024809049318,0.7400725656395006,0.8397881352806361,1.0
731904,,,4253.63523524703,1065.983680413749,273.07440808860343,40.0,male,0.0,3263.0,1.0,1.0,8.0,2071.55268939155,1500.0,1.0,6.0,1.0,4.0,2.0,2.0,10.0,2.0,3.0,1952.0,,1954.0,,,2123.6,1.0,2006.0,2007.0,1.0,2007.0,1.0,,3.0,1.0,3.0,0.0,2.0,,5.0,0.0,1.0,4.0,4.0,4.0,2.0,7.0,1.0,2.0,2.0,,,0.0,1.0,0.0,2017.0,4,,,3.0,1.0,1.0,1.0,,0.0,102.0,8.0,2071.55268939155,1500.0,1.0,6.0,1.0,4.0,2.0,2.0,False,0.4526356457800327,-0.3224828623666072,-0.4893768612721343,-0.0451353817423601,-0.7052784928326477,0.0
717101,,,3481.55804917728,210.4440968845212,128.39971373210489,36.0,female,1.0,2500.0,5.0,5.0,1.0,2577.4142108627,1750.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1954.0,,1955.0,,,1610.0,1.0,2001.0,2006.0,1.0,2016.0,1.0,,2.0,2.0,30.0,1070.0,2.0,,4.0,0.0,4.0,3.0,3.0,3.0,1.0,3.0,6.0,1.0,1.0,,300000.0,0.0,3.0,0.0,2015.0,1,,,2.0,1.0,1.0,1.0,,0.0,0.0,1.0,2577.4142108627,1750.0,1.0,4.0,1.0,3.0,1.0,3.0,False,0.0014476342734693,0.3730735578376217,-0.6007092821301927,1.086169495700562,0.9762170029411188,0.0
701492,,,,,,45.0,female,0.0,,0.0,-1.0,3.0,286.992040080165,250.0,5.0,4.0,1.0,4.0,1.0,3.0,0.0,1.0,2.0,1949.0,,1949.0,,,6495.0,1.0,1993.0,1997.0,2.0,,1.0,,2.0,3.0,,54.0,2.0,,2.0,0.0,2.0,1.0,4.0,4.0,99.0,,6.0,1.0,1.0,200.0,9999999999.0,0.0,1.0,0.0,2011.0,2,,,,1.0,2.0,1.0,,0.0,0.0,3.0,,,5.0,4.0,1.0,4.0,1.0,3.0,False,0.6680005393338552,-0.3498253022926124,0.5767044365831098,-0.0396301851240539,-1.1468198899895443,0.0
701044,9700.0,6100.0,6300.0,2269.054959827711,1280.592837540738,35.0,male,1.0,4500.0,9.0,9.0,1.0,3700.0,2600.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,1955.0,,1956.0,,,0.0,1.0,2009.0,2011.0,1.0,2016.0,1.0,8.0,1.0,1.0,36.0,180.0,2.0,1.0,2.0,0.0,3.0,1.0,5.0,4.0,0.0,6.0,6.0,1.0,1.0,26000.0,325000.0,0.0,1.0,0.0,2018.0,2,,,3.0,1.0,1.0,1.0,,0.0,0.0,1.0,3700.0,2600.0,1.0,5.0,1.0,2.0,1.0,2.0,False,0.410784077267781,-0.1815953212248252,-1.5056775965616311,-1.1328527526291654,-1.1295544843304453,1.0
728683,7300.0,4400.0,5000.0,877.0451483861549,378.5545630111197,36.0,female,1.0,3480.0,3.0,3.0,1.0,3900.0,2600.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,1958.0,,1960.0,,23.0,,1.0,2007.0,2009.0,1.0,2013.0,1.0,,1.0,1.0,,664.0,2.0,,3.0,0.0,3.0,1.0,2.0,4.0,99.0,7.0,6.0,1.0,1.0,3000.0,265000.0,0.0,1.0,0.0,2018.0,2,,,2.0,1.0,1.0,1.0,,0.0,0.0,1.0,3900.0,2600.0,1.0,5.0,1.0,5.0,1.0,3.0,False,-0.5036297869924066,0.5857170516973028,-0.0811299730793088,0.4036570790452415,-0.0865578815719118,0.0
709777,5300.0,4300.0,5300.0,588.4594445456266,466.0234306500337,33.0,female,1.0,3700.0,6.0,6.0,1.0,2300.0,1900.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,,,1963.0,,,5006.0,1.0,2007.0,2008.0,1.0,2014.0,1.0,,2.0,1.0,8.0,950.0,2.0,,3.0,0.0,4.0,1.0,3.0,4.0,0.0,6.0,6.0,1.0,1.0,-8.0,395000.0,0.0,1.0,0.0,2017.0,2,,,3.0,1.0,1.0,1.0,,0.0,0.0,1.0,2300.0,1900.0,1.0,5.0,1.0,4.0,1.0,2.0,False,-0.3591457586963409,-0.6360620654481494,0.5110324061821615,0.5686435778879442,-0.1687616530914736,0.0
725359,11555.1537504309,6250.0,9814.87042217236,2378.592970384867,1163.584669707297,42.0,female,0.0,6000.0,3.0,3.0,7.0,0.0,0.0,1.0,6.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1954.0,,1956.0,,2.0,,1.0,1997.0,1999.0,1.0,2009.0,1.0,,1.0,2.0,,1.0,2.0,,3.0,0.0,3.0,1.0,5.0,4.0,0.0,7.0,6.0,1.0,1.0,-9.0,,0.0,1.0,1.0,2015.0,3,,,2.0,1.0,1.0,1.0,,,0.0,7.0,0.0,0.0,1.0,6.0,1.0,3.0,1.0,3.0,False,-0.4355980399710876,0.6329522927453743,0.1284083184508341,1.2995145439296223,0.1302114810913285,0.0
730437,10990.0,6750.0,9600.0,3280.563756695385,2051.0578662247644,40.0,female,1.0,6100.0,5.0,5.0,1.0,6750.0,4000.0,1.0,6.0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,1948.0,,1952.0,,,43964.0,1.0,2012.0,2015.0,1.0,2014.0,1.0,7.0,2.0,1.0,,1560.0,2.0,1.0,4.0,0.0,3.0,1.0,2.0,4.0,99.0,6.0,6.0,1.0,1.0,10000.0,695000.0,0.0,5.0,0.0,2017.0,1,,,2.0,1.0,1.0,1.0,,0.0,0.0,1.0,6750.0,4000.0,1.0,6.0,1.0,3.0,1.0,3.0,False,-0.346512181990621,1.3518472031157296,-0.0604764419939163,1.0804436262954522,1.0290686786127596,0.0
714474,3837.72054410013,2725.0,3388.61987213931,692.4921812279168,439.9295776923681,31.0,female,0.0,2446.0,6.0,6.0,4.0,1344.77332031564,1025.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1963.0,,1965.0,,,117497.0,1.0,2009.0,2010.0,2.0,,1.0,,1.0,1.0,,,2.0,,1.0,0.0,4.0,2.0,2.0,3.0,99.0,6.0,5.0,1.0,4.0,-8.0,9999999999.0,0.0,5.0,0.0,,0,,,3.0,1.0,2.0,1.0,,0.0,0.0,4.0,1344.77332031564,1025.0,5.0,2.0,1.0,1.0,1.0,2.0,False,1.2842270078229758,-1.4347887712904426,-0.8447341325024624,-0.1574792475587954,-1.8565716806824752,0.0
704721,4500.0,3700.0,4498.5064032335,974.7323397609504,436.5983801656964,29.0,female,1.0,3300.0,1.0,1.0,1.0,2000.0,1700.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1966.0,,1963.0,,,2951.0,1.0,2010.0,2014.0,1.0,2019.0,1.0,8.0,1.0,2.0,,,2.0,,4.0,0.0,4.0,2.0,4.0,4.0,0.0,3.0,6.0,1.0,4.0,15000.0,210000.0,0.0,5.0,0.0,,0,1.0,2.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,2000.0,1700.0,1.0,3.0,1.0,3.0,1.0,2.0,False,-1.4574316961964402,-0.0297374736955803,0.9183482077094636,0.7654359049517687,0.1060215906309637,0.0
