nomem_encr,gross income,net income,gross income med 2011-2020,gross income std 2011-2020,net income std 2011-2020,age,gender,got married,net income med 2011-2020,how many years first/next child (imp zero),how many years first/next child (imp neg),primary occupation (imp),gross income (imp),net income (imp),civil status (imp),level of education (imp),lives together with partner (imp),urban character (imp),dwelling type (imp),domestic situation (imp),how many years first/next child (imp),how many (more) children (imp),will have (more) children (imp),father birth year (imp),father death year (imp),mother birth year (imp),mother death year (imp),age when parents separated (imp),distance from parents (imp),live together with partner (imp),year relatioship start (imp),year cohabitation start (imp),married (imp),year married (imp),same partner from last year (imp),satisfied with being single (imp),relationship arguments - leisure (imp),relationship arguments - working (imp),childcare hours (imp),childcare expense (imp),children passed away (imp),number of children passed away (imp),household division - jobs (imp),ever contacted a politician(imp),income disparity opinion (imp),opinion - should marry for children (imp),opinion - single parent is acceptable (imp),opinion - divorce is acceptable (imp),number of days for leasure (imp),highest level of education (imp),religion gatherions attendance (imp),speak dutch with partner (imp),speak dutch with children (imp),car value (imp),property value (imp),enterpreneur (imp),pay parental contribution (imp),go to gynaecologist (imp),year last child (imp),num children (imp),how many years first/next child,how many (more) children,will have (more) children,live together with partner,married,same partner,satisfaction with being single,go to gynaecologist,origin (imp),occupation,gross income (imp),net income (imp),civil status,level of education,lives together with partner,urban character,dwelling type,domestic situation,partner has same sex,neuroticism,extraversion,agreableness,conscientiousness,openness,new_child
700731,1650.0,1300,1653.96275336895,633.4391086639159,499.9287515110335,44,female,0,1300.0,0,0,Takes care of the housekeeping,0.0,0,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",0,1,no,1948,,1949,,,0.0,yes,2008,2009,yes,2010,yes,4,practically never,practically never,6,10,no,,I do a lot more than my partner,no,differences in income should decrease,disagree,agree,fully agree,never,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always","no, never",2000,,no,yes,no,2012,4,,,,,,,,no,Dutch background,Takes care of the housekeeping,0.0,0,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",False,-0.14398952717035,-0.532491473190523,0.348089039299878,-0.1118768465439776,0.2555036816121512,0
719895,1750.0,1500,1800.0,360.4678193357306,207.97291227570275,36,female,1,1500.0,1,1,Paid employment,1750.0,1500,Married,"mbo (intermediate vocational education, US: junior college)",No,Moderately urban,Self-owned dwelling,Single,1,1,yes,1953,,1952,,,2037.0,yes,2016,2017,yes,2020,yes,,occasionally,occasionally,8,250,no,,my partner does a lot more than I,no,,disagree,disagree,neither agree nor disagree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always","yes, often/always",-9,,no,not applicable,no,2017,1,1,1,yes,yes,yes,yes,,no,Dutch background,Paid employment,1750.0,1500,Married,"mbo (intermediate vocational education, US: junior college)",No,Moderately urban,Self-owned dwelling,Single,False,1.120002985995153,-0.6333661448866815,0.3363283806281917,-0.5996987868761683,-1.3040383164436018,1
708937,6608.0,4678,3942.83426805073,1862.277716478897,1358.6062177361111,31,female,0,2930.0,10,10,Paid employment,2758.0,2228,Never been married,"hbo (higher vocational education, US: college)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",5,3,I don't know,1954,,1954,,,64724.0,yes,2015,2015,no,,yes,8,occasionally,occasionally,,,no,,my partner does more than I,no,,fully disagree,neither agree nor disagree,agree,less than 1 day a week,university,never,"yes, often/always",not applicable,,345000,no,not applicable,no,,0,,,I don't know,yes,no,yes,,no,Dutch background,Paid employment,2758.0,2228,Never been married,"hbo (higher vocational education, US: college)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,1.5213752083182828,-1.3537017107203118,0.8061427100072973,-1.6286665832548337,-0.6775964606176162,0
730975,6081.28217634253,4000,6081.28217634253,997.986144132608,494.1979268890771,41,female,0,4000.0,1,1,Paid employment,1726.80486751182,1250,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",0,1,no,1937,,1945,,,1439.0,yes,2001,2005,no,,yes,,occasionally,occasionally,1,155,no,,my partner does more than I,no,,fully disagree,agree,neither agree nor disagree,1 day per week,,never,"yes, often/always","yes, often/always",,9999999999,no,yes,yes,2012,3,,,no,yes,no,yes,,yes,Dutch background,Paid employment,1726.80486751182,1250,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.4592188655214131,-0.6814848776747444,0.2061526929893288,0.0475166728052691,-0.5153002816524395,0
708136,8166.0,5560,5813.0,705.5252456435711,613.8808465621122,33,female,1,4075.0,1,1,Paid employment,3940.0,2734,Married,"hbo (higher vocational education, US: college)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,1,yes,1960,,1963,,,2138.58738423287,yes,2002,2009,yes,2015,yes,,occasionally,occasionally,,3150,no,,my partner does a lot more than I,yes,,agree,disagree,agree,less than 1 day a week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",once or a few times a year,"yes, often/always","yes, often/always",5600,620000,no,not applicable,no,2019,2,1,1,yes,yes,yes,yes,,no,Dutch background,Paid employment,3940.0,2734,Married,"hbo (higher vocational education, US: college)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.987012543395252,0.7349354314159414,-0.1127537312127734,1.3308166177997536,1.9333891183964171,1
705213,3260.0,2250,3300.0,206.3107259767189,232.6356344443633,42,male,1,2250.0,2,2,Paid employment,3260.0,2250,Married,wo (university),No,Extremely urban,Self-owned dwelling,Single,2,1,yes,1952,,1957,,,136838.0,yes,2010,2012,yes,2016,yes,6,practically never,occasionally,18,403,no,,I do a lot more than my partner,no,,neither agree nor disagree,disagree,agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always","yes, often/always",4500,225000,no,not applicable,no,2020,1,2,1,yes,yes,yes,yes,,no,"Second generation foreign, non-western background",Paid employment,3260.0,2250,Married,wo (university),No,Extremely urban,Self-owned dwelling,Single,False,0.674554376040135,0.2574647170123624,0.0770371218015017,0.4208690188680987,-0.0628778028364354,1
714146,4000.0,3550,4900.0,1671.1703567964728,786.0200091860866,37,male,1,3550.0,6,6,"Autonomous professional, freelancer, or self-employed",3000.0,2800,Married,wo (university),Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",0,1,no,1949,1999,1950,,,,yes,2007,2009,yes,2013,yes,,often,often,,160,no,,I do a lot more than my partner,no,,disagree,disagree,agree,less than 1 day a week,university,never,"yes, often/always","yes, often/always",6000,325000,no,yes,no,2016,2,,,no,yes,yes,yes,,no,Dutch background,"Autonomous professional, freelancer, or self-employed",3000.0,2800,Married,wo (university),Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.3403856846377018,1.3761254052839975,-0.3997286795674598,0.107156545938186,1.733259810511729,0
729014,4967.0780070536,3500,4255.87362261392,1619.489896966783,1051.6141801290312,33,female,0,2997.0,2,2,Paid employment,3638.0,2500,Divorced,wo (university),Yes,Very urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",2,2,yes,1955,,1960,,,1359.0,yes,2012,2016,no,2005,yes,,practically never,practically never,,808,no,,my partner does more than I,yes,,fully disagree,fully agree,fully agree,1 day per week,university,never,"yes, often/always","yes, often/always",,,no,yes,yes,2020,3,2,2,yes,yes,no,yes,,yes,Dutch background,Paid employment,3638.0,2500,Divorced,wo (university),Yes,Very urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",False,1.2793644580657813,1.6036439668673068,-0.0963568675665619,0.2202215458586759,0.6507669938330409,1
712435,3446.11391341185,2250,5982.47711902668,1178.1336333799843,808.1355258142214,44,male,0,4000.0,1,1,Paid employment,3446.11391341185,2250,Never been married,"hbo (higher vocational education, US: college)",No,Very urban,Self-owned dwelling,Single,1,2,no,1948,,1950,,,7342.0,no,2016,2017,no,,yes,5,often,practically never,,,no,,I do a lot more than my partner,no,,fully disagree,fully disagree,agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always",not applicable,-8,225000,no,not applicable,no,2007,1,,,no,no,no,yes,,no,Dutch background,Paid employment,3446.11391341185,2250,Never been married,"hbo (higher vocational education, US: college)",No,Very urban,Self-owned dwelling,Single,False,2.2959768442544424,0.3006812671781145,0.6415962037949401,-1.0813210112470533,-0.4160699213430016,0
725289,1617.0,1240,4229.455868374,1145.1694073878043,942.6991219498386,30,female,0,3450.0,20,20,Has (partial) work disability,1617.0,1240,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Very urban,Rental dwelling,Single,8,4,no,1944,,1953,,,0.0,,,,,,,7,,,,,no,,,no,differences in income should decrease,disagree,agree,agree,never,"HBO (higher professional education, US: college)",once or a few times a year,not applicable,not applicable,,,no,not applicable,no,,0,,,no,,,,7,no,Dutch background,Has (partial) work disability,1617.0,1240,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Very urban,Rental dwelling,Single,False,0.7029225304383147,0.2771954173472751,1.3542961428733442,-0.278058252215677,0.3115564772969922,0
702808,2833.53072225164,1900,2200.0,274.7763043155397,252.0525341840576,32,female,1,1750.0,1,1,Paid employment,2833.53072225164,1900,Married,"hbo (higher vocational education, US: college)",No,Extremely urban,Rental dwelling,Single,1,1,yes,1950,,1955,,,1479.0,yes,2008,2010,yes,2018,yes,7,practically never,practically never,,250,no,,we do roughly the same amount of work,no,differences in income should decrease,fully disagree,agree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",,,no,yes,no,2018,1,1,1,yes,yes,yes,yes,,no,Dutch background,Paid employment,2833.53072225164,1900,Married,"hbo (higher vocational education, US: college)",No,Extremely urban,Rental dwelling,Single,False,-0.3112490974317298,0.7009821918311183,0.3650416681934743,1.2173879416994282,1.1637775053663746,1
732113,2492.94722378449,1700,2492.94722378449,105.84279735508731,65.58958989042623,38,female,0,1700.0,4,4,Paid employment,2492.94722378449,1700,Divorced,"mbo (intermediate vocational education, US: junior college)",No,Not urban,Rental dwelling,Single,4,1,no,1949,,1963,,,0.0,yes,2014,2015,yes,2016,yes,10 entirely satisfied,practically never,practically never,,,no,,my partner does a lot more than I,no,differences in income should decrease,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,never,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",once or a few times a year,not applicable,not applicable,,,no,not applicable,no,2007,2,,,no,,,,10 entirely satisfied,no,Dutch background,Paid employment,2492.94722378449,1700,Divorced,"mbo (intermediate vocational education, US: junior college)",No,Not urban,Rental dwelling,Single,False,-0.9484639061695618,-0.2236283344571588,-0.2372231729537599,0.1498533421177727,-0.256152139478415,0
715903,1700.0,1530,900.0,332.50097853448835,304.7393938009474,44,female,0,850.0,,,Has (partial) work disability,1000.0,930,Divorced,"vmbo (intermediate secondary education, US: junior high school)",No,Extremely urban,Rental dwelling,"Single, with child(ren)",,,no,1942,,1946,1984,,,no,2018,2007,no,,yes,8,occasionally,practically never,,,no,,,no,,fully disagree,neither agree nor disagree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",,,no,not applicable,no,2000,2,,,no,no,no,yes,,no,Dutch background,Has (partial) work disability,1000.0,930,Divorced,"vmbo (intermediate secondary education, US: junior high school)",No,Extremely urban,Rental dwelling,"Single, with child(ren)",False,0.3814759137256953,-1.1360115521437684,0.657145471985387,0.7223183051658199,0.651547910783774,0
703283,7420.0,5000,5020.0,1904.6689931171516,1222.4063098242937,34,male,1,3350.0,1,1,Paid employment,3800.0,2500,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,2,yes,1960,,1961,,,6640.0,yes,2010,2014,yes,2017,yes,6,practically never,occasionally,,,no,,I do a lot more than my partner,no,,disagree,disagree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always",not applicable,7500,450000,no,not applicable,no,,0,1,2,yes,yes,yes,yes,,no,Dutch background,Paid employment,3800.0,2500,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-1.5398888475815888,-0.135095913290597,-0.2865573942310579,0.1666480635813997,0.5640846754744695,1
730647,7500.0,5450,4648.67761611824,1403.5296342362956,943.1527114084108,33,male,0,3400.0,2,2,Paid employment,3000.0,2650,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",2,2,yes,1955,,1959,,,10061.0,yes,2019,2020,no,,yes,5,practically never,practically never,,,no,,we do roughly the same amount of work,no,,fully disagree,agree,fully agree,less than 1 day a week,university,once or a few times a year,"no, never",not applicable,50000,310000,no,not applicable,no,,0,2,2,yes,yes,no,,,no,Dutch background,Paid employment,3000.0,2650,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-1.5933102717262393,0.2325393495081794,0.6659024809049318,0.7400725656395006,0.8397881352806361,1
731904,,,4253.63523524703,1065.983680413749,273.07440808860343,40,male,0,3263.0,1,1,Takes care of the housekeeping,2071.55268939155,1500,Married,wo (university),Yes,Slightly urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",10,2,I don't know,1952,,1954,,,2123.6,yes,2006,2007,yes,2007,yes,,often,practically never,3,0,no,,my partner does a lot more than I,no,differences in income should increase,agree,agree,agree,2 days per week,university,every day,"yes, sometimes","yes, sometimes",,,no,yes,no,2017,4,,,I don't know,yes,yes,yes,,no,"First generation foreign, non-western background",Takes care of the housekeeping,2071.55268939155,1500,Married,wo (university),Yes,Slightly urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",False,0.4526356457800327,-0.3224828623666072,-0.4893768612721343,-0.0451353817423601,-0.7052784928326477,0
717101,,,3481.55804917728,210.4440968845212,128.39971373210489,36,female,1,2500.0,5,5,Paid employment,2577.4142108627,1750,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,2,no,1954,,1955,,,1610.0,yes,2001,2006,yes,2016,yes,,occasionally,occasionally,30,1070,no,,my partner does more than I,no,,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,1 day per week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",never,"yes, often/always","yes, often/always",,300000,no,"no, I don't think it is necessary",no,2015,1,,,no,yes,yes,yes,,no,Dutch background,Paid employment,2577.4142108627,1750,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.0014476342734693,0.3730735578376217,-0.6007092821301927,1.086169495700562,0.9762170029411188,0
701492,,,,,,45,female,0,,0,-1,"Autonomous professional, freelancer, or self-employed",286.992040080165,250,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",0,1,no,1949,,1949,,,6495.0,yes,1993,1997,no,,yes,,occasionally,often,,54,no,,I do more than my partner,no,,fully disagree,agree,agree,never,,never,"yes, often/always","yes, often/always",200,9999999999,no,yes,no,2011,2,,,,yes,no,yes,,no,Dutch background,"Autonomous professional, freelancer, or self-employed",,,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.6680005393338552,-0.3498253022926124,0.5767044365831098,-0.0396301851240539,-1.1468198899895443,0
701044,9700.0,6100,6300.0,2269.054959827711,1280.592837540738,35,male,1,4500.0,9,9,Paid employment,3700.0,2600,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",4,1,I don't know,1955,,1956,,,0.0,yes,2009,2011,yes,2016,yes,8,practically never,practically never,36,180,no,1,I do more than my partner,no,,fully disagree,fully agree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",26000,325000,no,yes,no,2018,2,,,I don't know,yes,yes,yes,,no,Dutch background,Paid employment,3700.0,2600,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,0.410784077267781,-0.1815953212248252,-1.5056775965616311,-1.1328527526291654,-1.1295544843304453,1
728683,7300.0,4400,5000.0,877.0451483861549,378.5545630111197,36,female,1,3480.0,3,3,Paid employment,3900.0,2600,Married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,1,no,1958,,1960,,23,,yes,2007,2009,yes,2013,yes,,practically never,practically never,,664,no,,we do roughly the same amount of work,no,,fully disagree,disagree,agree,never,university,never,"yes, often/always","yes, often/always",3000,265000,no,yes,no,2018,2,,,no,yes,yes,yes,,no,Dutch background,Paid employment,3900.0,2600,Married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.5036297869924066,0.5857170516973028,-0.0811299730793088,0.4036570790452415,-0.0865578815719118,0
709777,5300.0,4300,5300.0,588.4594445456266,466.0234306500337,33,female,1,3700.0,6,6,Paid employment,2300.0,1900,Married,"hbo (higher vocational education, US: college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,2,I don't know,,,1963,,,5006.0,yes,2007,2008,yes,2014,yes,,occasionally,practically never,8,950,no,,we do roughly the same amount of work,no,,fully disagree,neither agree nor disagree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",-8,395000,no,yes,no,2017,2,,,I don't know,yes,yes,yes,,no,Dutch background,Paid employment,2300.0,1900,Married,"hbo (higher vocational education, US: college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.3591457586963409,-0.6360620654481494,0.5110324061821615,0.5686435778879442,-0.1687616530914736,0
